Distancia;Aptidao;Geracao;Mutou
30195,0641607184;0,0320563533656464;0;False
30195,0641607184;0,0320563533656464;1;False
29981,3014784715;0,0322775336179756;2;False
29392,8373368374;0,0329024891265402;3;False
29392,8373368374;0,0329024891265402;4;False
29392,8373368374;0,0329024891265402;5;False
29392,8373368374;0,0329024891265402;6;False
29392,8373368374;0,0329024891265402;7;False
29392,8373368374;0,0329024891265402;8;False
29130,137216176;0,0331893609652441;9;False
29130,137216176;0,0331893609652441;10;False
29130,137216176;0,0331893609652441;11;False
29130,137216176;0,0331893609652441;12;False
28841,5004061986;0,0335103793840165;13;False
28841,5004061986;0,0335103793840165;14;False
28841,5004061986;0,0335103793840165;15;False
28841,5004061986;0,0335103793840165;16;False
28841,5004061986;0,0335103793840165;17;False
28707,4494801061;0,0336615905269707;18;False
28707,4494801061;0,0336615905269707;19;False
28513,3502288607;0,0338829713416308;20;False
28513,3502288607;0,0338829713416308;21;False
28513,3502288607;0,0338829713416308;22;False
28483,1803074895;0,0339176435367786;23;False
27939,6692445494;0,0345546450980376;24;False
27697,072366536;0,0348467602279218;25;False
27697,072366536;0,0348467602279218;26;False
27697,072366536;0,0348467602279218;27;False
27697,072366536;0,0348467602279218;28;False
27697,072366536;0,0348467602279218;29;False
27344,5736337947;0,0352801214412242;30;False
27344,5736337947;0,0352801214412242;31;False
27344,5736337947;0,0352801214412242;32;False
27344,5736337947;0,0352801214412242;33;False
27344,5736337947;0,0352801214412242;34;False
26955,1059648585;0,0357716404744475;35;False
26955,1059648585;0,0357716404744475;36;False
26955,1059648585;0,0357716404744475;37;False
26955,1059648585;0,0357716404744475;38;False
26955,1059648585;0,0357716404744475;39;False
26955,1059648585;0,0357716404744475;40;False
26538,2119348417;0,036313178298072;41;False
26538,2119348417;0,036313178298072;42;False
26538,2119348417;0,036313178298072;43;False
26501,5623765012;0,0363615705286058;44;False
26501,5623765012;0,0363615705286058;45;False
26501,5623765012;0,0363615705286058;46;False
26501,5623765012;0,0363615705286058;47;False
26501,5623765012;0,0363615705286058;48;False
26136,0301807108;0,0368513741081712;49;False
26136,0301807108;0,0368513741081712;50;False
26136,0301807108;0,0368513741081712;51;False
26136,0301807108;0,0368513741081712;52;False
26136,0301807108;0,0368513741081712;53;False
26136,0301807108;0,0368513741081712;54;False
26136,0301807108;0,0368513741081712;55;False
25783,9863050093;0,0373357419098208;56;False
25783,9863050093;0,0373357419098208;57;False
25783,9863050093;0,0373357419098208;58;False
25783,9863050093;0,0373357419098208;59;False
25783,9863050093;0,0373357419098208;60;False
25783,9863050093;0,0373357419098208;61;False
25783,9863050093;0,0373357419098208;62;False
25783,9863050093;0,0373357419098208;63;False
25783,9863050093;0,0373357419098208;64;False
25783,9863050093;0,0373357419098208;65;False
25783,9863050093;0,0373357419098208;66;False
25783,9863050093;0,0373357419098208;67;False
25783,9863050093;0,0373357419098208;68;False
25783,9863050093;0,0373357419098208;69;False
25783,9863050093;0,0373357419098208;70;False
25783,9863050093;0,0373357419098208;71;False
25783,9863050093;0,0373357419098208;72;False
25783,9863050093;0,0373357419098208;73;False
25783,9863050093;0,0373357419098208;74;False
25783,9863050093;0,0373357419098208;75;False
25783,9863050093;0,0373357419098208;76;False
25425,2792876525;0,0378425517896895;77;False
25054,5927390315;0,0383809491868179;78;False
25054,5927390315;0,0383809491868179;79;False
25054,5927390315;0,0383809491868179;80;False
25054,5927390315;0,0383809491868179;81;False
25054,5927390315;0,0383809491868179;82;False
25054,5927390315;0,0383809491868179;83;False
24869,8540837044;0,03865503055272;84;False
24869,8540837044;0,03865503055272;85;False
24869,8540837044;0,03865503055272;86;False
24869,8540837044;0,03865503055272;87;False
24869,8540837044;0,03865503055272;88;False
24869,8540837044;0,03865503055272;89;False
24869,8540837044;0,03865503055272;90;False
24869,8540837044;0,03865503055272;91;False
24869,8540837044;0,03865503055272;92;False
24869,8540837044;0,03865503055272;93;False
24869,8540837044;0,03865503055272;94;False
24869,8540837044;0,03865503055272;95;False
24869,8540837044;0,03865503055272;96;False
24869,8540837044;0,03865503055272;97;False
24869,8540837044;0,03865503055272;98;False
