Nome,Long,Lat,Pop
SANTA IZABEL DO OESTE,-53.483618,-25.814381,14924
ASSAI,-50.841623,-23.372718,14792
CANDIDO DE ABREU,-51.332581,-24.564669,14606
MARMELEIRO,-53.026184,-26.148697,14407
CARLOPOLIS,-49.718724,-23.427724,14391
PARAISO DO NORTE,-52.603543,-23.287161,14211
IVAI,-50.861426,-25.008263,14049
ARARUNA,-52.499618,-23.928201,14029
PEABIRU,-52.347896,-23.914126,14017
ENGENHEIRO BELTRAO,-52.260035,-23.801144,13962
CAMPINA DA LAGOA,-52.813564,-24.594957,13888
JAGUAPITA,-51.540617,-23.117783,13861
MALLET,-50.827569,-25.873788,13697
GENERAL CARNEIRO,-51.316859,-26.425803,13661
IPORA,-53.718099,-24.002580,13642
MANOEL RIBAS,-51.669079,-24.521731,13517
IMBAU,-50.749309,-24.442797,13449
PLANALTO,-53.770857,-25.712101,13385
CANTAGALO,-52.126688,-25.374317,13340
BOCAIUVA DO SUL,-49.105787,-25.214902,13308
RIO BONITO DO IGUACU,-52.526890,-25.486909,13240
BALSA NOVA,-49.631756,-25.578498,13238
NOVA LONDRINA,-52.986313,-22.763869,13188
PIEN,-49.428244,-26.096956,13015
TURVO,-51.532764,-25.040127,12977
CIDADE GAUCHA,-52.940525,-23.374197,12939
MAMBORE,-52.529094,-24.321813,12900
RIBEIRAO DO PINHAL,-50.358061,-23.408258,12869
TEIXEIRA SOARES,-50.465647,-25.380049,12761
PALMITAL,-52.212997,-24.882244,12755
JATAIZINHO,-50.974055,-23.257265,12687
PORECATU,-51.377599,-22.756209,12587
QUERENCIA DO NORTE,-53.487041,-23.086529,12330
GUARANIACU,-52.869632,-25.098650,12267
SANTA FE,-51.806302,-23.036115,12257
ITAPEJARA D'OESTE,-52.813930,-25.970878,12220
VENTANIA,-50.247617,-24.244166,12108
MOREIRA SALES,-53.013447,-24.044758,12036
TRES BARRAS DO PARANA,-53.187499,-25.419408,11969
JOAQUIM TAVORA,-49.924457,-23.500489,11966
CEU AZUL,-53.857269,-25.149761,11872
SANTA MARIANA,-50.521071,-23.146427,11685
PARANACITY,-52.155989,-22.926810,11598
NOVA LARANJEIRAS,-52.539370,-25.306746,11588
ALVORADA DO SUL,-51.229216,-22.780379,11523
BARBOSA FERRAZ,-52.007117,-24.027715,11462
ITAIPULANDIA,-54.305001,-25.138481,11406
PEROLA,-53.673252,-23.797479,11287
URAI,-50.797365,-23.200159,11233
JARDIM ALEGRE,-51.694335,-24.181137,11138
PRIMEIRO DE MAIO,-51.027752,-22.852533,11117
SAO JERONIMO DA SERRA,-50.738480,-23.723403,11109
INACIO MARTINS,-51.074945,-25.572163,11088
SAO PEDRO DO IVAI,-51.856963,-23.867813,11067
MAUA DA SERRA,-51.226463,-23.901296,10994
CENTENARIO DO SUL,-51.593530,-22.814982,10706
MISSAL,-54.243175,-25.091160,10704
RIBEIRAO CLARO,-49.756351,-23.196285,10622
NOVA PRATA DO IGUACU,-53.347957,-25.631877,10540
FLORESTOPOLIS,-51.383823,-22.859104,10360
MARILUZ,-53.151526,-24.003733,10347
BARRACAO,-53.635000,-26.252603,10327
NOVA AURORA,-53.257526,-24.528485,10144
SAO JOAO,-52.729473,-25.824663,10131
CATANDUVAS,-53.153706,-25.196493,10122
IRETAMA,-52.101577,-24.421142,10055
SANTA TEREZA DO OESTE,-53.627236,-25.058722,10029
SAO JOAO DO IVAI,-51.820279,-23.993089,9897
ALTO PIQUIRI,-53.441249,-24.019013,9722
RONCADOR,-52.276053,-24.595107,9664
RONDON,-52.762492,-23.412660,9573
JAPURA,-52.556628,-23.468588,9567
AGUDOS DO SUL,-49.338702,-25.990618,9447
SANTA MARIA DO OESTE,-51.867710,-24.934184,9269
SAO JORGE D'OESTE,-52.920103,-25.714948,9210
TUNAS DO PARANA,-49.086059,-24.972381,9005
DOURADINA,-53.296449,-23.381907,8988
SAO SEBASTIAO DA AMOREIRA,-50.762401,-23.460646,8896
CONGONHINHAS,-50.554428,-23.546902,8881
MARILANDIA DO SUL,-51.309291,-23.745779,8865
GUAMIRANGA,-50.809876,-25.189909,8793
CALIFORNIA,-51.358086,-23.666144,8641
TUNEIRAS DO OESTE,-52.874568,-23.864031,8502
SANTA ISABEL DO IVAI,-53.195948,-23.001089,8484
VERA CRUZ DO OESTE,-53.880030,-25.063170,8389
JESUITAS,-53.388115,-24.377249,8311
NOVA SANTA ROSA,-53.955116,-24.464765,8294
IVATE,-53.373879,-23.409589,8251
NOVA FATIMA,-50.562314,-23.432359,8127
TUPASSI,-53.514495,-24.579813,8120
RESERVA DO IGUACU,-52.028762,-25.830958,8118
CAMPO DO TENENTE,-49.690377,-25.981006,8105
CAMBIRA,-51.581631,-23.600612,7967
TOMAZINA,-49.955152,-23.779045,7705
ICARAIMA,-53.625570,-23.396711,7699
SANTA CRUZ DE MONTE CASTELO,-53.297306,-22.958582,7671
FIGUEIRA,-50.409201,-23.843411,7625
GUARAQUECABA,-48.326049,-25.300437,7554
BOA VISTA DA APARECIDA,-53.411736,-25.430405,7538
CORONEL DOMINGOS SOARES,-52.034539,-26.226548,7524
QUATIGUA,-49.915264,-23.564161,7504
ANTONIO OLINTO,-50.197947,-25.986706,7421
ABATIA,-50.312527,-23.300494,7418
PAULO FRONTIN,-50.833196,-26.045608,7360
JURANDA,-52.844486,-24.416391,7244
LUIZIANA,-52.281906,-24.280081,7217
VERE,-52.908593,-25.880632,7103
MARILENA,-53.037186,-22.731825,7094
BOM SUCESSO,-51.764465,-23.707437,7093
GOIOXIM,-52.005588,-25.201540,7069
JUSSARA,-52.473041,-23.616327,6997
SAO CARLOS DO IVAI,-52.477115,-23.308847,6961
SABAUDIA,-51.556702,-23.318396,6954
VITORINO,-52.777081,-26.264344,6926
FLORESTA,-52.083085,-23.610267,6879
RENASCENCA,-52.972162,-26.156221,6772
SAPOPEMA,-50.579647,-23.907287,6708
MARIOPOLIS,-52.557748,-26.355843,6655
GUAIRACA,-52.691040,-22.938244,6635
ITAMBARACA,-50.409090,-23.014769,6516
AMAPORA,-52.786787,-23.097370,6405
IBEMA,-53.023122,-25.112867,6387
FORMOSA DO OESTE,-53.316161,-24.294197,6345
BOA VENTURA DE SAO ROQUE,-51.539374,-24.878518,6343
PINHALAO,-50.062603,-23.787355,6323
BORRAZOPOLIS,-51.584409,-23.937854,6290
PEROLA D'OESTE,-53.740108,-25.828266,6232
PEROBAL,-53.411500,-23.894562,6194
SAO JOSE DA BOA VISTA,-49.651152,-23.915466,6115
ITAMBE,-51.990004,-23.660099,6110
OURO VERDE DO OESTE,-53.899538,-24.770794,6036
DOUTOR CAMARGO,-52.222721,-23.555901,5987
FRANCISCO ALVES,-53.844016,-24.067575,5942
PAULA FREITAS,-50.934736,-26.220102,5942
ENEAS MARQUES,-53.166185,-25.940756,5906
NOVA OLIMPIA,-53.091233,-23.471101,5846
SAO JOAO DO CAIUA,-52.339751,-22.854404,5819
ADRIANOPOLIS,-48.991755,-24.661690,5797
SAO TOME,-52.592484,-23.535511,5778
PATO BRAGADO,-54.231396,-24.625644,5755
SAO PEDRO DO IGUACU,-53.859862,-24.930931,5745
LARANJAL,-52.471666,-24.888302,5719
MERCEDES,-54.164436,-24.448890,5617
MARIA HELENA,-53.204819,-23.617610,5593
XAMBRE,-53.486941,-23.738394,5584
SAUDADE DO IGUACU,-52.614339,-25.693661,5578
MARIPA,-53.833478,-24.417209,5562
FERNANDES PINHEIRO,-50.547414,-25.412242,5561
GUARACI,-51.650385,-22.974429,5557
SAO JORGE DO IVAI,-52.294342,-23.435458,5535
SAO JORGE DO PATROCINIO,-53.883331,-23.758248,5532
DOUTOR ULYSSES,-49.419772,-24.567836,5525
TAPIRA,-53.075325,-23.317109,5452
SANTO INACIO,-51.795300,-22.700069,5422
PRESIDENTE CASTELO BRANCO,-52.157726,-23.281550,5395
GRANDES RIOS,-51.508742,-24.146194,5379
BRAGANEY,-53.121074,-24.814895,5338
JABOTI,-50.073453,-23.735741,5332
DIAMANTE D'OESTE,-54.103626,-24.942162,5279
NOVA TEBAS,-51.950396,-24.438325,5252
TAMBOARA,-52.500629,-23.201821,5196
SERTANEJA,-50.817102,-23.036937,5149
PRANCHITA,-53.742623,-26.015664,5035
HONORIO SERPA,-52.383029,-26.142966,5030
NOVA ESPERANCA DO SUDOESTE,-53.264207,-25.898779,5014
DIAMANTE DO NORTE,-52.864111,-22.657206,4975
LUPIONOPOLIS,-51.656873,-22.751995,4969
JANIOPOLIS,-52.782552,-24.141450,4948
JAPIRA,-50.138595,-23.807481,4929
SANTANA DO ITARARE,-49.633197,-23.753133,4916
PORTO AMAZONAS,-49.889721,-25.541573,4899
FLORAI,-52.302984,-23.319846,4883
SALTO DO ITARARE,-49.630750,-23.605757,4862
LOBATO,-51.953749,-23.004158,4850
NOVA CANTU,-52.570992,-24.670779,4827
FENIX,-51.984464,-23.920695,4734
LUNARDELLI,-51.744548,-24.078046,4695
MARUMBI,-51.641080,-23.706369,4676
ENTRE RIOS DO OESTE,-54.244894,-24.708142,4651
ROSARIO DO IVAI,-51.249945,-24.253553,4595
FLOR DA SERRA DO SUL,-53.308598,-26.255299,4583
RAMILANDIA,-54.027237,-25.118987,4500
LINDOESTE,-53.577126,-25.255985,4488
IGUARACU,-51.824774,-23.194781,4475
INDIANOPOLIS,-52.701057,-23.479711,4472
FOZ DO JORDAO,-52.125628,-25.733440,4466
